Namespace(barcodes='/Users/akim/Desktop/uST_barcodes_trim.tsv', directory='', dont_build_reference=True, fiveprimemismatches=1, ignore_no_match=False, ignore_space_warning=False, inputfastq='/Users/akim/Desktop/4000.fq.gz', outputprefix='local2', sbatchcompression=False, threads=2, trim_sequences=None, ultra=False)
Demultiplexing...
Demultiplexing complete! 1000 reads processed in 46.0 seconds
         144059 function calls (140604 primitive calls) in 48.213 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.011    0.003 __init__.py:1(<module>)
      131    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
    41/36    0.000    0.000    0.081    0.002 <frozen importlib._bootstrap_external>:927(exec_module)
        1    0.000    0.000    0.016    0.016 fromnumeric.py:3(<module>)
        4    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      107    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
        4    0.000    0.000    0.003    0.001 fnmatch.py:48(filter)
      240    0.000    0.000    0.001    0.000 typing.py:646(<genexpr>)
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
    67/61    0.000    0.000    0.001    0.000 typing.py:580(_subs_tree)
        9    0.000    0.000    0.001    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.002    0.002 _type_aliases.py:114(_add_aliases)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       14    0.000    0.000    0.002    0.000 typing.py:732(__new__)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
      231    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.043    0.043 __main__.py:734(concatenate_files)
        4    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
       41    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
       51    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       30    0.000    0.000    0.002    0.000 getlimits.py:41(<lambda>)
      104    0.000    0.000    0.010    0.000 typing.py:133(__new__)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:707(find_spec)
        1    0.000    0.000    0.005    0.005 tokenize.py:21(<module>)
      693    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:1376(findCaller)
        3    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.006    0.006 defchararray.py:17(<module>)
        2    0.000    0.000    0.003    0.001 gzip.py:123(__init__)
       13    0.000    0.000    0.003    0.000 typing.py:790(__getitem__)
      304    0.000    0.000    0.000    0.000 glob.py:152(_ishidden)
        1    0.000    0.000    0.002    0.002 utils.py:4(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       76    0.000    0.000    0.001    0.000 enum.py:797(__or__)
       84    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
        7    0.000    0.000    0.004    0.001 enum.py:366(_create_)
       88    0.000    0.000    0.000    0.000 random.py:223(_randbelow)
        1    0.000    0.000    0.047    0.047 multiarray.py:7(<module>)
        1    0.000    0.000    0.001    0.001 histograms.py:3(<module>)
        1    0.000    0.000    0.016    0.016 __init__.py:41(<module>)
        4    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f9d870f07b8}
        4    0.000    0.000    0.000    0.000 reduction.py:38(__init__)
       88    0.000    0.000    0.000    0.000 random.py:255(choice)
        4    0.000    0.000    0.005    0.001 glob.py:79(_glob1)
        1    0.000    0.000    0.006    0.006 datetime.py:5(<module>)
        1    0.000    0.000    0.016    0.016 numerictypes.py:81(<module>)
        1    0.000    0.000    0.000    0.000 {method 'count' of 'bytearray' objects}
       85    0.000    0.000    0.000    0.000 re.py:249(escape)
        1    0.000    0.000    0.010    0.010 _add_newdocs.py:10(<module>)
      933    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _datasource.py:538(Repository)
        3    0.000    0.000    0.001    0.000 gettext.py:466(find)
        3    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 os.py:607(get_exec_path)
        4    0.000    0.000    0.001    0.000 argparse.py:1226(__init__)
        3    0.000    0.000    0.002    0.001 __init__.py:1063(emit)
        2    0.000    0.000    0.025    0.013 shape_base.py:1(<module>)
       73    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        3    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
  115/103    0.000    0.000    0.000    0.000 typing.py:553(_replace_arg)
      238    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      358    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
    46/29    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
      300    0.000    0.000    0.000    0.000 glob.py:82(<genexpr>)
      216    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       16    0.000    0.000    0.000    0.000 sre_compile.py:378(<listcomp>)
       94    0.000    0.000    0.000    0.000 typing.py:1025(_abc_negative_cache)
        1    0.000    0.000    0.011    0.011 socket.py:47(<module>)
        1    0.000    0.000    0.005    0.005 _type_aliases.py:24(<module>)
      319    0.000    0.000    0.000    0.000 typing.py:971(<genexpr>)
       73    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        2    0.000    0.000    0.004    0.002 gzip.py:518(compress)
        1    0.000    0.000    0.001    0.001 tempfile.py:163(_candidate_tempdir_list)
       41    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       18    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.001    0.001 function_base.py:23(linspace)
        7    0.000    0.000    0.000    0.000 core.py:2555(_arraymethod)
       32    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
